network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2a7:1c44:39f3:1b::/64,2658434,,,0,0
2000:db8::/32,6252001,,,0,0
2001:200::/32,1861060,1861060,,0,0
2001:208::/32,1880251,1880251,,0,0
2001:218::/32,1861060,1861060,,0,0
2001:220::/32,1835841,1835841,,0,0
2001:230::/32,1835841,1835841,,0,0
2001:238::/32,1668284,1668284,,0,0
2001:240::/32,1861060,1861060,,0,0
2001:250::/31,1814991,1814991,,0,0
2001:252::/32,1814991,1814991,,0,0
2001:254::/32,1814991,1814991,,0,0
2001:256::/32,1814991,1814991,,0,0
2001:258::/32,1861060,1861060,,0,0
2001:260::/32,1861060,1861060,,0,0
2001:268::/32,1861060,1861060,,0,0
2001:270::/32,1835841,1835841,,0,0
2001:278::/32,1861060,1861060,,0,0
2001:280::/32,1835841,1835841,,0,0
2001:288::/32,1668284,1668284,,0,0
2001:290::/32,1835841,1835841,,0,0
2001:298::/32,1861060,1861060,,0,0
2001:2a0::/32,1861060,1861060,,0,0
2001:2a8::/32,1861060,1861060,,0,0
2001:2b0::/32,1835841,1835841,,0,0
2001:2b8::/31,1835841,1835841,,0,0
2001:2c0::/32,1861060,1861060,,0,0
2001:2c8::/32,1861060,1861060,,0,0
2001:2d8::/32,1835841,1835841,,0,0
2001:2e0::/32,1819730,1819730,,0,0
2001:2e8::/32,1861060,1861060,,0,0
2001:2f0::/32,1861060,1861060,,0,0
2001:2f8::/32,1861060,1861060,,0,0
2001:300::/32,1861060,1861060,,0,0
2001:308::/32,1861060,1861060,,0,0
2001:310::/32,1861060,1861060,,0,0
2001:318::/32,1861060,1861060,,0,0
2001:320::/32,1835841,1835841,,0,0
2001:330::/32,1835841,1835841,,0,0
2001:338::/32,1861060,1861060,,0,0
2001:340::/32,1861060,1861060,,0,0
2001:348::/32,1861060,1861060,,0,0
2001:350::/32,1861060,1861060,,0,0
2001:358::/32,1861060,1861060,,0,0
2001:360::/32,2077456,2077456,,0,0
2001:368::/32,1861060,1861060,,0,0
2001:370::/32,1861060,1861060,,0,0
2001:378::/32,1835841,1835841,,0,0
2001:380::/32,1861060,1861060,,0,0
2001:388::/32,2077456,2077456,,0,0
2001:390::/32,1835841,1835841,,0,0
2001:398::/32,1861060,1861060,,0,0
2001:3a0::/32,1861060,1861060,,0,0
2001:3a8::/32,1835841,1835841,,0,0
2001:3b0::/32,1861060,1861060,,0,0
2001:3b8::/32,1861060,1861060,,0,0
2001:3c0::/35,1861060,1861060,,0,0
2001:3c8::/32,1605651,1605651,,0,0
2001:3d0::/32,1861060,1861060,,0,0
2001:3d8::/32,1861060,1861060,,0,0
2001:3e0::/32,1861060,1861060,,0,0
2001:3e8::/32,1861060,1861060,,0,0
2001:400::/32,6252001,6252001,,0,0
2001:408::/32,6252001,6252001,,0,0
2001:410::/32,6251999,6251999,,0,0
2001:418::/32,6252001,6252001,,0,0
2001:420::/34,6252001,6252001,,0,0
2001:420:4000::/38,2750405,6252001,,0,0
2001:420:4400::/41,2750405,6252001,,0,0
2001:420:4480::/45,294640,6252001,,0,0
2001:420:4488::/45,2750405,6252001,,0,0
2001:420:4490::/44,2750405,6252001,,0,0
2001:420:44a0::/43,2750405,6252001,,0,0
2001:420:44c0::/42,2750405,6252001,,0,0
2001:420:4500::/40,2750405,6252001,,0,0
2001:420:4600::/39,2750405,6252001,,0,0
2001:420:4800::/37,2750405,6252001,,0,0
2001:420:5000::/39,2077456,6252001,,0,0
2001:420:5200::/39,6252001,6252001,,0,0
2001:420:5400::/38,1269750,6252001,,0,0
2001:420:5800::/38,1819730,6252001,,0,0
2001:420:5c00::/39,1880251,6252001,,0,0
2001:420:5e00::/39,1861060,6252001,,0,0
2001:420:6000::/35,6252001,6252001,,0,0
2001:420:8000::/34,6252001,6252001,,0,0
2001:420:c000::/41,6252001,6252001,,0,0
2001:420:c080::/42,6252001,6252001,,0,0
2001:420:c0c0::/46,2750405,6252001,,0,0
2001:420:c0c4::/46,6252001,6252001,,0,0
2001:420:c0c8::/45,6252001,6252001,,0,0
